,date,open,high,low,close,volume,symbol
0,2022-01-07 13:13:00,3222.77000,3222.87000,3221.01000,3221.01000,34,eth
1,2022-01-07 13:12:00,3223.12000,3224.45000,3221.73000,3222.77000,128,eth
2,2022-01-07 13:11:00,3223.68000,3228.27000,3222.40000,3223.12000,277,eth
3,2022-01-07 13:10:00,3227.01000,3228.15000,3217.31000,3223.65000,2763,eth
4,2022-01-07 13:09:00,3226.49000,3229.55000,3226.37000,3227.01000,161,eth
5,2022-01-07 13:08:00,3226.02000,3228.00000,3222.64000,3226.50000,206,eth
6,2022-01-07 13:07:00,3231.05000,3231.12000,3223.45000,3226.02000,340,eth
7,2022-01-07 13:06:00,3239.88000,3239.88000,3230.65000,3231.06000,254,eth
8,2022-01-07 13:05:00,3237.47000,3241.08000,3237.47000,3239.87000,89,eth
9,2022-01-07 13:04:00,3237.50000,3239.53000,3236.50000,3237.47000,114,eth
10,2022-01-07 13:03:00,3240.78000,3240.79000,3237.22000,3237.50000,200,eth
11,2022-01-07 13:02:00,3244.46000,3244.46000,3240.74000,3240.79000,111,eth
12,2022-01-07 13:01:00,3242.28000,3248.31000,3242.28000,3244.46000,198,eth
13,2022-01-07 13:00:00,3241.72000,3245.76000,3241.01000,3242.29000,240,eth
14,2022-01-07 12:59:00,3243.09000,3243.37000,3237.66000,3241.72000,263,eth
15,2022-01-07 12:58:00,3242.21000,3244.26000,3242.01000,3243.09000,37,eth
16,2022-01-07 12:57:00,3241.18000,3243.22000,3239.69000,3242.22000,113,eth
17,2022-01-07 12:56:00,3242.64000,3243.14000,3241.00000,3241.56000,94,eth
18,2022-01-07 12:55:00,3237.95000,3243.21000,3237.77000,3242.65000,183,eth
19,2022-01-07 12:54:00,3239.31000,3239.73000,3236.04000,3237.94000,134,eth
20,2022-01-07 12:53:00,3244.70000,3244.70000,3238.93000,3239.38000,333,eth
21,2022-01-07 12:52:00,3247.75000,3247.87000,3244.05000,3244.69000,166,eth
22,2022-01-07 12:51:00,3248.00000,3250.33000,3246.41000,3247.74000,126,eth
23,2022-01-07 12:50:00,3248.89000,3249.15000,3245.81000,3248.01000,81,eth
24,2022-01-07 12:49:00,3248.96000,3252.03000,3247.56000,3248.89000,112,eth
25,2022-01-07 12:48:00,3253.37000,3253.37000,3248.31000,3248.79000,191,eth
26,2022-01-07 12:47:00,3252.84000,3254.74000,3251.26000,3253.39000,78,eth
27,2022-01-07 12:46:00,3250.94000,3254.89000,3250.23000,3252.85000,79,eth
28,2022-01-07 12:45:00,3252.68000,3252.68000,3247.00000,3250.95000,161,eth
29,2022-01-07 12:44:00,3250.09000,3257.07000,3250.09000,3252.56000,329,eth
30,2022-01-07 12:43:00,3249.45000,3251.59000,3248.08000,3250.09000,150,eth
31,2022-01-07 12:42:00,3247.00000,3250.40000,3247.00000,3249.24000,125,eth
32,2022-01-07 12:41:00,3248.28000,3249.88000,3246.67000,3247.01000,114,eth
33,2022-01-07 12:40:00,3254.19000,3254.56000,3247.04000,3248.27000,289,eth
34,2022-01-07 12:39:00,3254.11000,3255.86000,3253.00000,3254.20000,144,eth
35,2022-01-07 12:38:00,3253.55000,3257.16000,3251.81000,3254.11000,96,eth
36,2022-01-07 12:37:00,3251.62000,3254.70000,3251.61000,3253.55000,122,eth
37,2022-01-07 12:36:00,3252.42000,3254.70000,3251.57000,3251.62000,124,eth
