,symbol_id,exchange_id,symbol_type,asset_id_base,asset_id_quote,data_end,data_quote_end,price,symbol_id_exchange,asset_id_base_exchange,asset_id_quote_exchange,price_precision,size_precision,option_type_is_call,option_strike_price,option_contract_unit,option_exercise_style,option_expiration_time,data_trade_end,future_delivery_time,future_contract_unit,future_contract_unit_asset,asset_id_unit,data_start,data_quote_start,data_orderbook_start,data_orderbook_end,data_trade_start,volume_1hrs,volume_1hrs_usd,volume_1day,volume_1day_usd,index_id,index_display_name,index_display_description,contract_delivery_time,contract_unit,contract_id,contract_display_name,contract_display_description
19313,COINBASE_SPOT_DASH_USD,COINBASE,SPOT,DASH,USD,2022-01-06,2022-01-06T15:39:18.0207550Z,121.87,DASH-USD,DASH,USD,0.01,1e-08,,,,,,2022-01-06T15:25:44.6387530Z,,,,,2019-09-17,2019-09-17T16:01:08.5885701Z,2019-09-17T16:01:08.5885701Z,2020-08-05T14:37:54.0035870Z,2019-09-17T16:15:58.1250000Z,435.42576372,53090.63,31011.1884192,3781134.51,,,,,,,,
22620,COINBASE_SPOT_OXT_USD,COINBASE,SPOT,OXT,USD,2022-01-06,2022-01-06T15:38:55.1566990Z,0.3418,OXT-USD,OXT,USD,0.0001,1.0,,,,,,2022-01-06T15:37:10.7537440Z,,,,,2019-12-16,2019-12-16T15:00:38.2576758Z,2019-12-16T15:00:38.2576758Z,2020-08-05T14:37:33.3148900Z,2019-12-16T15:16:57.6260000Z,156311.0,53426.63,10334823.0,3532411.24,,,,,,,,
23804,COINBASE_SPOT_ATOM_USD,COINBASE,SPOT,ATOM,USD,2022-01-06,2022-01-06T15:36:10.4799750Z,38.005,ATOM-USD,ATOM,USD,0.01,0.1,,,,,,2022-01-06T15:34:25.0860070Z,,,,,2020-01-14,2020-01-14T17:59:57.1422946Z,2020-01-14T17:59:57.1422946Z,2020-08-05T14:37:51.1762590Z,2020-01-14T18:16:28.9733810Z,281901.4,10717778.03,5221864.2,198533180.06,,,,,,,,
24893,COINBASE_SPOT_XRP_USD,COINBASE,SPOT,XRP,USD,2021-01-19,2021-01-19T18:25:39.2651350Z,,XRP-USD,XRP,USD,0.0001,1e-06,,,,,,2021-01-19T17:54:50.9286010Z,,,,,2019-02-25,2019-02-25T18:09:36.3356425Z,2019-02-25T18:09:36.3356425Z,2020-08-05T14:37:53.0953050Z,2019-02-26T17:04:13.4090000Z,,,,,,,,,,,,
25546,COINBASE_SPOT_KNC_USD,COINBASE,SPOT,KNC,USD,2022-01-06,2022-01-06T15:30:05.2907380Z,1.286,KNC-USD,KNC,USD,0.0001,0.1,,,,,,2022-01-06T15:36:19.7093910Z,,,,,2020-02-25,2020-02-25T17:00:23.8712876Z,2020-02-25T17:00:23.8712876Z,2020-08-05T14:37:53.1222070Z,2020-02-25T17:13:43.3013180Z,32939.5,42349.13,1330642.0,1710758.42,,,,,,,,
28847,COINBASE_SPOT_DAI_USD,COINBASE,SPOT,DAI,USD,2022-01-06,2022-01-06T15:36:19.1906250Z,0.999934,DAI-USD,DAI,USD,1e-06,1e-05,,,,,,2022-01-06T15:32:56.6676370Z,,,,,2020-04-30,2020-04-30T21:20:59.5466210Z,2020-04-30T21:20:59.5466210Z,2020-08-05T14:37:50.2773880Z,2020-04-30T21:21:36.3914300Z,247498.81002,247490.75,12136188.26213,12135793.01,,,,,,,,
31600,COINBASE_SPOT_OMG_USD,COINBASE,SPOT,OMG,USD,2022-01-06,2022-01-06T15:35:08.8478490Z,5.555,OMG-USD,OMG,USD,0.01,0.1,,,,,,2022-01-06T15:26:45.1815770Z,,,,,2020-05-19,2020-05-19T16:00:42.5600260Z,2020-05-19T16:00:42.5600260Z,2020-08-05T14:37:36.7310590Z,2020-05-19T16:03:52.7903400Z,12457.4,69194.25,1177496.7,6540369.4,,,,,,,,
33022,COINBASE_SPOT_MKR_USD,COINBASE,SPOT,MKR,USD,2022-01-06,2022-01-06T15:30:05.0607370Z,2226.095,MKR-USD,MKR,USD,0.01,1e-06,,,,,,2022-01-06T15:39:11.2744720Z,,,,,2020-06-09,2020-06-09T16:00:20.6194918Z,2020-06-09T16:00:20.6194918Z,2020-08-05T14:37:53.1619760Z,2020-06-09T16:03:00.3172530Z,820.652229,1828203.6,4661.333137,10384259.89,,,,,,,,
33807,COINBASE_SPOT_COMP_USD,COINBASE,SPOT,COMP,USD,2022-01-06,2022-01-06T15:29:13.4056230Z,200.025,COMP-USD,COMP,USD,0.01,0.001,,,,,,2022-01-06T15:34:21.9399190Z,,,,,2020-06-23,2020-06-23T15:59:37.1663388Z,2020-06-23T15:59:37.1663388Z,2020-08-05T14:36:52.5283460Z,2020-06-23T16:30:23.6490220Z,4357.809,871954.93,90388.422,18085838.65,,,,,,,,
36798,COINBASE_SPOT_BAND_USD,COINBASE,SPOT,BAND,USD,2022-01-06,2022-01-06T15:34:19.3924260Z,5.725,BAND-USD,BAND,USD,0.01,0.01,,,,,,2022-01-06T15:39:24.0908590Z,,,,,2020-08-11,2020-08-11T15:58:16.4064450Z,,,2020-08-11T16:04:43.5252310Z,27247.46,155973.33,3097226.04,17729529.46,,,,,,,,
37298,COINBASE_SPOT_NMR_USD,COINBASE,SPOT,NMR,USD,2022-01-06,2022-01-06T15:36:09.0439570Z,29.13,NMR-USD,NMR,USD,0.01,0.001,,,,,,2022-01-06T15:39:24.8775200Z,,,,,2020-08-18,2020-08-18T16:00:18.7537430Z,,,2020-08-18T16:10:42.4300040Z,396.73,11553.02,26100.982,760076.64,,,,,,,,
38509,COINBASE_SPOT_CGLD_USD,COINBASE,SPOT,CGLD,USD,2022-01-06,2022-01-06T15:30:54.7261810Z,4.895,CGLD-USD,CGLD,USD,0.01,0.01,,,,,,2022-01-06T15:36:41.0895910Z,,,,,2020-09-01,2020-09-01T15:59:51.9660490Z,,,2020-09-01T16:03:44.4271250Z,131081.96,641737.14,2661988.22,13032279.19,,,,,,,,
38860,COINBASE_SPOT_UMA_USD,COINBASE,SPOT,UMA,USD,2022-01-06,2022-01-06T15:37:52.9097590Z,9.195,UMA-USD,UMA,USD,0.01,0.001,,,,,,2022-01-06T15:36:46.2185320Z,,,,,2020-09-05,2020-09-05T00:38:56.3507580Z,,,2020-09-05T01:53:42.1532010Z,95332.459,876465.04,4566926.024,41987283.66,,,,,,,,
39632,COINBASE_SPOT_YFI_USD,COINBASE,SPOT,YFI,USD,2022-01-06,2022-01-06T15:41:55.4223330Z,35594.34,YFI-USD,YFI,USD,0.01,1e-06,,,,,,2022-01-06T15:32:54.4823160Z,,,,,2020-09-15,2020-09-15T16:00:12.3535550Z,,,2020-09-15T16:05:42.3068420Z,94.916231,3380291.37,1227.279916,43707632.18,,,,,,,,
39633,COINBASE_SPOT_LRC_USD,COINBASE,SPOT,LRC,USD,2022-01-06,2022-01-06T15:39:40.6740350Z,1.74015,LRC-USD,LRC,USD,0.0001,1e-06,,,,,,2022-01-06T15:39:57.2404380Z,,,,,2020-09-15,2020-09-15T16:00:14.7887500Z,,,2020-09-15T16:04:09.2308700Z,1568584.575947,2731042.87,37242492.275966,64842434.82,,,,,,,,
40164,COINBASE_SPOT_UNI_USD,COINBASE,SPOT,UNI,USD,2022-01-06,2022-01-06T15:29:10.3171650Z,16.665,UNI-USD,UNI,USD,0.01,1e-06,,,,,,2022-01-06T15:25:16.8895390Z,,,,,2020-09-17,2020-09-18T01:49:09.1267030Z,,,2020-09-17T19:10:07.3951310Z,37467.512361,624831.47,1553868.769891,25913279.09,,,,,,,,
42211,COINBASE_SPOT_REN_USD,COINBASE,SPOT,REN,USD,2022-01-06,2022-01-06T15:36:06.7210590Z,0.50505,REN-USD,REN,USD,0.0001,1e-06,,,,,,2022-01-06T15:29:33.1704920Z,,,,,2020-10-06,2020-10-06T16:01:56.8127230Z,,,2020-10-06T16:05:55.6485690Z,907671.324016,458532.2,16585705.080941,8378671.4,,,,,,,,
42215,COINBASE_SPOT_BAL_USD,COINBASE,SPOT,BAL,USD,2022-01-06,2022-01-06T15:30:26.7231100Z,17.3,BAL-USD,BAL,USD,0.01,0.001,,,,,,2022-01-06T15:32:27.1889580Z,,,,,2020-10-06,2020-10-06T16:01:50.2634130Z,,,2020-10-06T16:05:02.8105800Z,6330.739,109648.27,252640.256,4375723.87,,,,,,,,
