,symbol,signal,req,trades,pv,minutes,retrack_days
224,btc,0.05,0.05,5,128.0648389025039,12672.0,4
380,btc,0.1,0.25,3,126.85546456992077,13440.0,6
244,btc,0.15,0.25,2,125.49898191855988,20160.0,4
684,eth,0.2,0.25,2,125.40983606557377,2160.0,4
772,eth,0.3,0.25,1,125.23433772525419,1440.0,5
260,btc,0.25,0.25,1,125.20925779186476,2880.0,4
108,btc,0.2,0.25,1,125.20925779186476,2880.0,2
36,btc,0.2,0.25,1,125.20925779186476,2880.0,1
188,btc,0.25,0.25,1,125.20925779186476,2880.0,3
476,eth,0.25,0.25,1,125.17716747442111,2880.0,1
620,eth,0.25,0.25,1,125.16765943266547,4320.0,3
252,btc,0.2,0.25,1,125.0717706006149,37440.0,4
100,btc,0.15,0.25,2,125.06357809120931,18000.0,2
316,btc,0.15,0.25,2,125.06357809120931,18000.0,5
180,btc,0.2,0.25,2,125.06357809120931,18000.0,3
468,eth,0.2,0.25,2,125.05377321336604,2160.0,1
836,eth,0.25,0.25,1,125.04528637456498,0.0,6
764,eth,0.25,0.25,1,125.03446580671363,2880.0,5
548,eth,0.25,0.25,1,125.03446580671363,2880.0,2
540,eth,0.2,0.25,2,125.02407221664996,2160.0,2
308,btc,0.1,0.25,2,125.0,20160.0,5
304,btc,0.1,0.05,4,123.48749018097377,2520.0,5
240,btc,0.15,0.05,4,123.07798972399003,360.0,4
24,btc,0.15,0.05,4,122.93197864952549,0.0,1
689,eth,0.25,0.1,2,122.03170398505296,0.0,4
393,btc,0.2,0.1,2,121.38327247917832,0.0,6
825,eth,0.2,0.1,2,121.34832358865555,0.0,6
753,eth,0.2,0.1,2,121.22376157508864,0.0,5
321,btc,0.2,0.1,2,121.1797961493181,0.0,5
761,eth,0.25,0.1,2,121.14102536909087,0.0,5
249,btc,0.2,0.1,2,121.13763513448919,0.0,4
771,eth,0.3,0.2,1,120.35673652145191,0.0,5
187,btc,0.25,0.2,1,120.18406629688326,0.0,3
35,btc,0.2,0.2,1,120.18406629688326,0.0,1
259,btc,0.25,0.2,1,120.18406629688326,0.0,4
107,btc,0.2,0.2,1,120.18406629688326,0.0,2
179,btc,0.2,0.2,1,120.08606824738706,2880.0,3
547,eth,0.25,0.2,1,120.01581686633678,0.0,2
475,eth,0.25,0.2,1,120.00323101777059,0.0,1
384,btc,0.15,0.05,3,117.71375737876032,0.0,6
608,eth,0.2,0.05,3,116.53211890353117,0.0,3
312,btc,0.15,0.05,3,116.42099495248301,480.0,5
96,btc,0.15,0.05,3,116.03167815054168,480.0,2
250,btc,0.2,0.15,1,115.38010191332742,2880.0,4
826,eth,0.2,0.15,1,115.23513975090597,0.0,6
